 Abbeville   	  Coaling   	  Goldville   	  Maplesville   	  Russellville
Catherine 	Fort Rucker 	Lenox 	Rainbow City 	Watson
Cecil 	Fosters 	Leroy 	Rainsville 	Watts Mill
Cedar Bluff 	Franklin 	Lester 	Ralph 	Wattsville
Center Point 	Frankville 	Letohatchee 	Ramer 	Waverly
Central 	Frisco City 	Level Plains 	Ranburne 	Weaver
Centre 	Fruitdale 	Levelroad 	Randolph 	Webb
Centreville 	Fruithurst 	Lexington 	Range 	Wedowee
Chance 	Fulton 	Liberty Highlands 	Red Bay 	Wellington
Chancellor 	Fulton Springs 	Libertyville 	Red Level 	Wenonah
Chapman 	Fultondale 	Lillian 	Redstone Arsenal 	Weogufka
Chastang 	Furman 	Lincoln 	Reece City 	West Blocton
Chatom 	Fyffe 	Linden 	Reform 	West Greene
Chelsea 	Gadsden 	Lineville 	Rehobeth 	Westover
Cherokee 	Gainestown 	Lisman 	Remlap 	Wetumpka
Chestnut Grove 	Gainesville 	Little Brooklyn 	Repton 	Whatley
Chickasaw 	Gallant 	Little River 	Riderwood 	Whistler
Childersburg 	Gallion 	Livingston 	Ridgeville 	White Hall
Choccolocco 	Gantt 	Loachapoka 	River Falls 	White Oak
Christiana 	Garden City 	Lockhart 	Riverchase 	Whitehead
Chrysler 	Gardendale 	Locust Fork 	Riverside 	Whites Chapel
Chulafinnee 	Garland 	Logan 	Riverview 	Whitfield
Chunchula 	Gateswood 	Louisville 	Roanoke 	Wills Crossroads
Citronelle 	Gayfers 	Lowndesboro 	Roba 	Wilmer
Claiborne 	Gaylesville 	Loxley 	Robertsdale 	Wilsonville
Clanton 	Geiger 	Luverne 	Rock Mills 	Wilton
Clay 	Geneva 	Lynn 	Rockford 	Winfield
Clayhatchee 	Georgetown 	Macedonia 	Rockledge 	Wing
Clayton 	Georgiana 	Madison 	Rocky Hill 	Winslow
Cleveland 	Geraldine 	Madrid 	Rogersville 	Woodland
Clinton 	Gibsonville 	Magnolia 	Rome 	Woodstock
Clio 	Gilbertown 	Magnolia Springs 	Romulus 	Woodville
Clopton 	Glen Allen 	Malcolm 	Rosa 	Yantley
Cloverdale 	Glen City 	Malone 	Rose Hill 	Yarbo
Coal City 	Glencoe 	Malvern 	Rosinton 	Yellow Pine
Coal Fire 	Glenwood 	Manila 	Ruffner 	York
Coalburg 
